alpha,beta,gamma,minCost
1.0,5,0.1,681.8834081709614
1.0,5,0.2,682.2546538168394
1.0,5,0.3,690.3478367897691
1.0,7,0.1,688.710816802817
1.0,7,0.2,684.8067929449955
1.0,7,0.3,681.7012445350608
1.0,9,0.1,676.4839833331941
1.0,9,0.2,687.2265425478045
1.0,9,0.3,682.6334298107352
1.5,5,0.1,673.8667023713198
1.5,5,0.2,665.6641696853424
1.5,5,0.3,666.2749133081606
1.5,7,0.1,666.6614714950342
1.5,7,0.2,674.5604069215985
1.5,7,0.3,677.0521605714431
1.5,9,0.1,675.7146272952942
1.5,9,0.2,678.2476237869023
1.5,9,0.3,675.0275167903384
2.0,5,0.1,679.1552959771959
2.0,5,0.2,680.2123268328843
2.0,5,0.3,668.436525020508
2.0,7,0.1,666.151357245922
2.0,7,0.2,672.0973469282889
2.0,7,0.3,672.6965390895676
2.0,9,0.1,678.1094297143553
2.0,9,0.2,679.8193971629858
2.0,9,0.3,674.76519010161
