alpha,beta,evapRate,minCost_in_km_gens_total,elapsedTime_in_ms
1.5,5.0,0.3,675.0026165148776,1389741

gen,minCost_in_km_per_gen
1,879.2672619524338
2,875.2985707929865
3,866.4794247210025
4,862.5251019015317
5,850.6865689493741
6,837.3512441475074
7,848.0936307157233
8,838.7186214010443
9,817.437651642818
10,820.1115243073226
11,802.6637251514837
12,788.909003518843
13,722.1261523126295
14,753.5702771637847
15,747.3818923518512
16,751.1743047797515
17,735.5252261052626
18,726.3438059185808
19,731.7403723586043
20,727.3971695663146
21,725.1680769417009
22,718.5159558829064
23,724.207834800892
24,706.3197856510876
25,703.60619248089
26,705.127045503467
27,689.2296646147342
28,705.4464675181803
29,678.675687989928
30,691.1202454897003
31,704.1847669039583
32,703.6519942578698
33,715.3234389734774
34,721.5818377041674
35,711.6120142605116
36,713.7767091304617
37,719.4077985119585
38,721.9313618680778
39,698.866319422684
40,706.0628067300552
41,699.5320792860741
42,711.8947994082868
43,700.6227506501261
44,715.9234578116498
45,709.9185871153317
46,701.7487071236753
47,704.9578650597966
48,704.9913919418665
49,696.0216965473539
50,706.5666715044757
51,713.0487667218518
52,699.2990856661175
53,710.1499555572041
54,709.5212540628179
55,707.8364652805823
56,709.7903566094258
57,707.989220330945
58,695.6320426953827
59,695.3943002261215
60,704.2708360525509
61,693.4088055737781
62,694.7461971000857
63,700.4393404396855
64,700.5323153703973
65,697.1218020240616
66,689.1509812148089
67,697.6427632035849
68,695.5852601267674
69,701.3106925017137
70,712.7967145364572
71,688.7179892955066
72,702.7175041216509
73,691.7221743668383
74,706.4880679929324
75,701.5791412537175
76,701.7892658086294
77,701.3902438337117
78,706.0306824374522
79,691.6810931358732
80,690.3186988761212
81,703.0986493203818
82,702.7633886968055
83,695.6024137579409
84,690.5792297175302
85,698.6240347133376
86,700.521867868254
87,702.4147305575451
88,704.1553735823234
89,694.6283449728904
90,697.0268388939919
91,691.8333795153309
92,680.5609515088281
93,696.977405069432
94,697.989245989943
95,690.9281741470373
96,695.8189297556711
97,692.3193715851729
98,697.1144558431845
99,697.9586199720128
100,697.1098304946066
101,713.6864276502024
102,691.3865455006369
103,685.5160925102083
104,706.766533890432
105,689.4524855475024
106,688.1026724933569
107,683.0072827805362
108,694.6317290714018
109,701.4301442558577
110,701.0055783180687
111,700.1358384141728
112,706.2062374838812
113,698.4683555765773
114,703.6714297258856
115,699.8216734913883
116,692.7546195313593
117,700.832995968723
118,694.9886179715577
119,708.1904678187607
120,690.5445577457006
121,712.9426782974282
122,693.5819566413959
123,695.4579152405413
124,693.280023285783
125,697.5678793013111
126,696.1046157944851
127,711.2213677301343
128,708.6211684439648
